Date,Time,Address,Players,Max Players,Version
2021-02-09,20:06:11.426819,51.79.37.206:2303,86,99,2.00.146773
2021-02-09,20:11:12.886850,51.79.37.206:2303,81,99,2.00.146773
2021-02-09,20:16:13.681479,51.79.37.206:2303,83,99,2.00.146773
2021-02-09,20:21:15.125315,51.79.37.206:2303,85,99,2.00.146773
2021-02-09,20:26:16.831813,51.79.37.206:2303,88,99,2.00.146773
2021-02-09,20:31:18.044214,51.79.37.206:2303,96,99,2.00.146773
2021-02-09,20:36:20.005309,51.79.37.206:2303,94,99,2.00.146773
2021-02-09,20:41:22.278738,51.79.37.206:2303,98,99,2.00.146773
2021-02-09,20:46:23.913479,51.79.37.206:2303,99,99,2.00.146773
2021-02-09,20:51:25.176868,51.79.37.206:2303,96,99,2.00.146773
2021-02-09,20:56:29.164507,51.79.37.206:2303,94,99,2.00.146773
2021-02-09,21:01:32.087491,51.79.37.206:2303,95,99,2.00.146773
2021-02-09,21:06:34.240425,51.79.37.206:2303,97,99,2.00.146773
2021-02-09,21:11:35.994848,51.79.37.206:2303,98,99,2.00.146773
2021-02-09,21:16:38.173003,51.79.37.206:2303,97,99,2.00.146773
2021-02-09,21:21:39.696874,51.79.37.206:2303,97,99,2.00.146773
2021-02-09,21:26:41.122550,51.79.37.206:2303,98,99,2.00.146773
2021-02-09,21:31:42.966574,51.79.37.206:2303,68,99,2.00.146773
2021-02-09,21:36:43.896664,51.79.37.206:2324,2,20,2.00.146773
2021-02-09,21:41:45.321919,51.79.37.206:2324,2,20,2.00.146773
2021-02-09,21:46:46.883721,51.79.37.206:2303,74,99,2.00.146773
2021-02-09,21:51:48.220089,51.79.37.206:2303,82,99,2.00.146773
2021-02-09,21:56:49.985561,51.79.37.206:2324,1,20,2.00.146773
2021-02-09,22:01:51.862108,51.79.37.206:2324,1,20,2.00.146773
2021-02-09,22:06:53.298505,51.79.37.206:2324,1,20,2.00.146773
2021-02-09,22:11:55.464595,51.79.37.206:2324,1,20,2.00.146773
2021-02-09,22:16:57.253286,51.79.37.206:2324,2,20,2.00.146773
2021-02-09,22:22:02.543887,51.79.37.206:2324,2,20,2.00.146773
2021-02-09,22:27:03.912327,51.79.37.206:2324,2,20,2.00.146773
2021-02-09,22:32:05.763072,51.79.37.206:2324,2,20,2.00.146773
2021-02-09,22:37:07.042643,51.79.37.206:2324,1,20,2.00.146773
2021-02-09,22:42:09.295336,51.79.37.206:2303,72,99,2.00.146773
2021-02-09,22:47:11.303118,51.79.37.206:2303,73,99,2.00.146773
2021-02-09,22:52:13.450471,51.79.37.206:2303,80,99,2.00.146773
2021-02-09,22:57:15.322839,51.79.37.206:2303,77,99,2.00.146773
2021-02-09,23:02:17.441201,51.79.37.206:2303,77,99,2.00.146773
2021-02-09,23:12:21.677745,51.79.37.206:2303,80,99,2.00.146773
2021-02-09,23:17:24.744409,51.79.37.206:2303,82,99,2.00.146773
2021-02-09,23:22:26.540268,51.79.37.206:2303,83,99,2.00.146773
2021-02-09,23:27:27.989668,51.79.37.206:2303,74,99,2.00.146773
2021-02-09,23:32:30.463052,51.79.37.206:2303,70,99,2.00.146773
2021-02-09,23:37:32.080050,51.79.37.206:2303,73,99,2.00.146773
2021-02-09,23:42:34.594515,51.79.37.206:2303,73,99,2.00.146773
2021-02-09,23:47:36.404785,51.79.37.206:2303,77,99,2.00.146773
2021-02-09,23:52:38.274796,51.79.37.206:2303,78,99,2.00.146773
2021-02-09,23:57:40.053529,51.79.37.206:2303,83,99,2.00.146773
2021-02-10,00:02:41.953993,51.79.37.206:2303,81,99,2.00.146773
2021-02-10,00:07:42.958832,51.79.37.206:2303,83,99,2.00.146773
2021-02-10,00:12:43.825138,51.79.37.206:2303,86,99,2.00.146773
2021-02-10,00:17:45.000479,51.79.37.206:2303,91,99,2.00.146773
2021-02-10,00:22:47.196024,51.79.37.206:2303,92,99,2.00.146773
2021-02-10,00:27:49.293290,51.79.37.206:2303,92,99,2.00.146773
2021-02-10,00:32:50.978703,51.79.37.206:2303,96,99,2.00.146773
2021-02-10,00:37:52.074149,51.79.37.206:2303,95,99,2.00.146773
2021-02-10,00:42:54.428172,51.79.37.206:2303,97,99,2.00.146773
2021-02-10,00:47:56.843285,51.79.37.206:2303,98,99,2.00.146773
2021-02-10,00:53:00.000153,51.79.37.206:2303,99,99,2.00.146773
2021-02-10,00:58:03.475586,51.79.37.206:2303,86,99,2.00.146773
